date,week,name,predicted_tempreature
2021-05-27,21,Charlottenburg-Wilmersdorf,17.44
2021-05-28,21,Charlottenburg-Wilmersdorf,17.52
2021-05-29,21,Charlottenburg-Wilmersdorf,17.56
2021-05-30,21,Charlottenburg-Wilmersdorf,17.75
2021-05-31,22,Charlottenburg-Wilmersdorf,17.94
2021-06-01,22,Charlottenburg-Wilmersdorf,18.04
2021-06-02,22,Charlottenburg-Wilmersdorf,18.12
2021-06-03,22,Charlottenburg-Wilmersdorf,18.22
2021-06-04,22,Charlottenburg-Wilmersdorf,18.28
2021-06-05,22,Charlottenburg-Wilmersdorf,18.31
2021-06-06,22,Charlottenburg-Wilmersdorf,18.49
2021-06-07,23,Charlottenburg-Wilmersdorf,18.67
